Multi Channel Experimenter Spike Analyzer ASCII Export


Instantaneous Parameters:

t	12	12	
	Isi	Frequency	
[s]	[ms]	[Hz]	
0.00060	NaN	NaN	
312.63220	312631.60	0.003	
575.49610	262863.90	0.004	
680.88070	105384.60	0.009	

t	13	13	
	Isi	Frequency	
[s]	[ms]	[Hz]	
0.00060	NaN	NaN	
237.27050	237269.90	0.004	
617.28160	380011.10	0.003	

t	14	14	
	Isi	Frequency	
[s]	[ms]	[Hz]	
272.71150	NaN	NaN	
538.52750	265816.00	0.004	
657.59830	119070.80	0.008	

t	17	17	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	

t	21	21	
	Isi	Frequency	
[s]	[ms]	[Hz]	
257.51410	NaN	NaN	
266.15810	8644.00	0.116	
266.19620	38.10	26.247	
266.23890	42.70	23.419	
663.81350	397574.60	0.003	

t	22	22	
	Isi	Frequency	
[s]	[ms]	[Hz]	
144.93400	NaN	NaN	
307.39730	162463.30	0.006	
439.95000	132552.70	0.008	

t	24	24	
	Isi	Frequency	
[s]	[ms]	[Hz]	
252.13830	NaN	NaN	
347.87270	95734.40	0.010	
368.03080	20158.10	0.050	
371.07210	3041.30	0.329	
394.44530	23373.20	0.043	
395.41310	967.80	1.033	
406.15370	10740.60	0.093	
427.39280	21239.10	0.047	
429.79150	2398.70	0.417	
431.83640	2044.90	0.489	
433.72700	1890.60	0.529	
434.83860	1111.60	0.900	
437.20770	2369.10	0.422	
444.10390	6896.20	0.145	
449.28060	5176.70	0.193	
450.37280	1092.20	0.916	
451.18030	807.50	1.238	
453.12930	1949.00	0.513	
457.48880	4359.50	0.229	
459.73000	2241.20	0.446	
462.73740	3007.40	0.333	
466.29060	3553.20	0.281	
467.55740	1266.80	0.789	
467.86410	306.70	3.261	
468.05300	188.90	5.294	
469.62320	1570.20	0.637	
474.54780	4924.60	0.203	
474.91990	372.10	2.687	
475.25130	331.40	3.018	
477.04910	1797.80	0.556	
479.27490	2225.80	0.449	
492.32460	13049.70	0.077	
493.05030	725.70	1.378	
501.76970	8719.40	0.115	
506.95690	5187.20	0.193	
513.07490	6118.00	0.163	
518.70520	5630.30	0.178	
519.76940	1064.20	0.940	
522.23970	2470.30	0.405	
523.30660	1066.90	0.937	
524.34750	1040.90	0.961	
546.93340	22585.90	0.044	
555.71820	8784.80	0.114	
558.69650	2978.30	0.336	
579.78640	21089.90	0.047	
600.16310	20376.70	0.049	
618.17630	18013.20	0.056	
618.37310	196.80	5.081	
630.09460	11721.50	0.085	
638.30110	8206.50	0.122	

t	25	25	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	
340.48240	103211.90	0.010	

t	26	26	
	Isi	Frequency	
[s]	[ms]	[Hz]	
475.79330	NaN	NaN	

t	27	27	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	

t	28	28	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	

t	31	31	
	Isi	Frequency	
[s]	[ms]	[Hz]	
664.10110	NaN	NaN	

t	32	32	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	
622.27220	385001.70	0.003	

t	33	33	
	Isi	Frequency	
[s]	[ms]	[Hz]	
574.94020	NaN	NaN	
613.20640	38266.20	0.026	

t	34	34	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	35	35	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	
245.64840	8377.90	0.119	

t	36	36	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	37	37	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	38	38	
	Isi	Frequency	
[s]	[ms]	[Hz]	
533.97360	NaN	NaN	

t	41	41	
	Isi	Frequency	
[s]	[ms]	[Hz]	
525.90650	NaN	NaN	

t	43	43	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	

t	44	44	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	45	45	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	
474.24210	236971.60	0.004	

t	46	46	
	Isi	Frequency	
[s]	[ms]	[Hz]	
237.27050	NaN	NaN	
665.28530	428014.80	0.002	

t	48	48	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	51	51	
	Isi	Frequency	
[s]	[ms]	[Hz]	
27.55720	NaN	NaN	
30.95050	3393.30	0.295	
31.22880	278.30	3.593	
32.52180	1293.00	0.773	
40.15730	7635.50	0.131	
40.88070	723.40	1.382	
669.16200	628281.30	0.002	

t	52	52	
	Isi	Frequency	
[s]	[ms]	[Hz]	
32.66660	NaN	NaN	
34.54790	1881.30	0.532	
34.72630	178.40	5.605	
58.17960	23453.30	0.043	
63.78050	5600.90	0.179	
64.32320	542.70	1.843	
73.65820	9335.00	0.107	
74.98960	1331.40	0.751	
75.72310	733.50	1.363	
76.40900	685.90	1.458	
79.10980	2700.80	0.370	
79.48650	376.70	2.655	
83.41600	3929.50	0.254	
84.03510	619.10	1.615	
84.46250	427.40	2.340	
86.43170	1969.20	0.508	
87.25250	820.80	1.218	
90.02750	2775.00	0.360	
90.34410	316.60	3.159	
91.95430	1610.20	0.621	
93.60570	1651.40	0.606	
94.38340	777.70	1.286	
95.66500	1281.60	0.780	
99.49440	3829.40	0.261	

t	53	53	
	Isi	Frequency	
[s]	[ms]	[Hz]	
0.92770	NaN	NaN	
6.58240	5654.70	0.177	
6.84700	264.60	3.779	
7.41380	566.80	1.764	
8.13190	718.10	1.393	
9.01770	885.80	1.129	
15.84720	6829.50	0.146	
32.33830	16491.10	0.061	
36.50980	4171.50	0.240	
40.48530	3975.50	0.252	
41.02390	538.60	1.857	
