Multi Channel Experimenter Spike Analyzer ASCII Export


Instantaneous Parameters:

t	12	12	
	Isi	Frequency	
[s]	[ms]	[Hz]	
232.51800	NaN	NaN	
232.79020	272.20	3.674	
232.80520	15.00	66.667	
261.71380	28908.60	0.035	
261.71870	4.90	204.082	
261.72890	10.20	98.039	
261.73990	11.00	90.909	
261.78570	45.80	21.834	
261.82060	34.90	28.653	
261.84530	24.70	40.486	
261.89190	46.60	21.459	
262.03670	144.80	6.906	
366.65830	104621.60	0.010	

t	13	13	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	14	14	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	17	17	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	21	21	
	Isi	Frequency	
[s]	[ms]	[Hz]	
291.74150	NaN	NaN	
440.53480	148793.30	0.007	
490.16730	49632.50	0.020	
490.38520	217.90	4.589	
491.64040	1255.20	0.797	
492.87630	1235.90	0.809	
497.56470	4688.40	0.213	
504.81510	7250.40	0.138	
504.97620	161.10	6.207	
505.12020	144.00	6.944	
511.80840	6688.20	0.150	
554.48450	42676.10	0.023	
574.67480	20190.30	0.050	
694.97570	120300.90	0.008	
709.64300	14667.30	0.068	
716.88970	7246.70	0.138	
890.58690	173697.20	0.006	

t	22	22	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	26	26	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	27	27	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	28	28	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	31	31	
	Isi	Frequency	
[s]	[ms]	[Hz]	
479.02720	NaN	NaN	
531.05310	52025.90	0.019	
668.04170	136988.60	0.007	
755.21540	87173.70	0.011	

t	33	33	
	Isi	Frequency	
[s]	[ms]	[Hz]	
335.32930	NaN	NaN	

t	34	34	
	Isi	Frequency	
[s]	[ms]	[Hz]	
11.63720	NaN	NaN	
34.49880	22861.60	0.044	
422.16440	387665.60	0.003	
715.35250	293188.10	0.003	

t	35	35	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	36	36	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	37	37	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	38	38	
	Isi	Frequency	
[s]	[ms]	[Hz]	
331.54680	NaN	NaN	
331.56940	22.60	44.248	
331.60770	38.30	26.110	
441.04000	109432.30	0.009	
656.20860	215168.60	0.005	

t	41	41	
	Isi	Frequency	
[s]	[ms]	[Hz]	
133.04750	NaN	NaN	
228.15020	95102.70	0.011	
563.32860	335178.40	0.003	
582.49230	19163.70	0.052	
584.75070	2258.40	0.443	
670.64910	85898.40	0.012	
868.34430	197695.20	0.005	

t	43	43	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	44	44	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	45	45	
	Isi	Frequency	
[s]	[ms]	[Hz]	
443.24520	NaN	NaN	

t	46	46	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	47	47	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	48	48	
	Isi	Frequency	
[s]	[ms]	[Hz]	
644.54170	NaN	NaN	

t	51	51	
	Isi	Frequency	
[s]	[ms]	[Hz]	
189.97670	NaN	NaN	
245.12160	55144.90	0.018	
600.38740	355265.80	0.003	
678.27720	77889.80	0.013	
678.39950	122.30	8.177	
678.58630	186.80	5.353	

t	52	52	
	Isi	Frequency	
[s]	[ms]	[Hz]	
137.61710	NaN	NaN	

t	53	53	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	54	54	
	Isi	Frequency	
[s]	[ms]	[Hz]	
335.56480	NaN	NaN	

t	55	55	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	58	58	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	61	61	
	Isi	Frequency	
[s]	[ms]	[Hz]	
329.89610	NaN	NaN	
348.86720	18971.10	0.053	
378.99020	30123.00	0.033	
398.89560	19905.40	0.050	
524.31580	125420.20	0.008	
547.69350	23377.70	0.043	
593.35320	45659.70	0.022	
598.55300	5199.80	0.192	
645.87350	47320.50	0.021	
715.42510	69551.60	0.014	
721.09950	5674.40	0.176	
816.42740	95327.90	0.010	
820.23190	3804.50	0.263	
876.86390	56632.00	0.018	
876.87470	10.80	92.593	
876.88270	8.00	125.000	
876.88910	6.40	156.250	

t	62	62	
	Isi	Frequency	
[s]	[ms]	[Hz]	
434.95010	NaN	NaN	

t	63	63	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	66	66	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	67	67	
	Isi	Frequency	
[s]	[ms]	[Hz]	
93.71760	NaN	NaN	
152.56610	58848.50	0.017	
342.19360	189627.50	0.005	
756.88820	414694.60	0.002	
821.00430	64116.10	0.016	
853.81490	32810.60	0.030	
870.39930	16584.40	0.060	
876.45770	6058.40	0.165	

t	68	68	
	Isi	Frequency	
[s]	[ms]	[Hz]	

t	71	71	
	Isi	Frequency	
[s]	[ms]	[Hz]	
14.99520	NaN	NaN	
25.97730	10982.10	0.091	
50.39940	24422.10	0.041	
76.54620	26146.80	0.038	
89.91830	13372.10	0.075	
107.17800	17259.70	0.058	
181.43260	74254.60	0.013	
205.84890	24416.30	0.041	
205.87740	28.50	35.088	
206.21750	340.10	2.940	
222.39550	16178.00	0.062	
268.43660	46041.10	0.022	
362.47420	94037.60	0.011	
367.33630	4862.10	0.206	
380.35590	13019.60	0.077	
385.88050	5524.60	0.181	
387.63770	1757.20	0.569	
391.16010	3522.40	0.284	
391.16320	3.10	322.581	
391.16700	3.80	263.158	
426.93940	35772.40	0.028	
438.75900	11819.60	0.085	
438.96920	210.20	4.757	
456.65800	17688.80	0.057	
