Multi Channel Experimenter Burst Analyzer ASCII Export


Parameters:

t	12	12	12	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
100.80800	39.00	2	25.641	
157.64130	28.80	2	34.722	
222.35390	110.80	8	63.177	
369.91870	42.50	2	23.529	
560.59190	18.30	3	109.290	
570.22260	17.50	2	57.143	
623.53600	21.70	3	92.166	
701.21310	43.30	2	23.095	
713.15720	13.50	2	74.074	
813.73080	18.60	2	53.763	
837.42500	14.60	3	136.986	
846.00770	56.90	2	17.575	
969.47570	15.70	2	63.694	
1046.13770	26.10	4	114.943	
1060.37010	20.90	2	47.847	
1105.72840	44.10	2	22.676	
1281.86890	420.50	11	23.781	
1306.32200	336.20	4	8.923	
1342.28210	15.40	2	64.935	
1350.92620	34.50	2	28.986	
1369.11770	12.80	3	156.250	
1375.44720	23.30	2	42.918	
1381.05250	13.30	3	150.376	
1450.17140	34.40	2	29.070	
1605.90560	25.70	3	77.821	
1705.89340	10.20	2	98.039	
1807.15940	20.60	2	48.544	
1823.52590	22.50	2	44.444	
1881.74140	18.60	3	107.527	
1955.06680	11.10	2	90.090	
1981.18300	28.20	3	70.922	
1987.15840	28.50	2	35.088	
2089.43550	18.00	2	55.556	
2214.89860	11.40	3	175.439	
2326.01740	27.60	3	72.464	
2344.41960	25.60	2	39.063	
2366.64980	26.40	5	151.515	
2394.69290	26.00	3	76.923	
2535.01950	17.00	2	58.824	
2547.99770	21.60	3	92.593	
2613.55880	11.20	2	89.286	
2711.98060	16.30	4	184.049	
2742.81930	18.00	3	111.111	
2779.77040	30.40	2	32.895	
2786.33520	32.40	2	30.864	
3079.36940	19.10	3	104.712	
3093.36100	12.80	2	78.125	
3282.25200	31.90	3	62.696	
3352.27080	28.30	2	35.336	
3389.59710	26.50	3	75.472	
3431.23310	17.50	2	57.143	
3478.50680	20.00	3	100.000	
3486.11020	24.40	3	81.967	
3492.31450	35.30	3	56.657	
3506.52370	23.40	3	85.470	
3527.34940	22.60	3	88.496	
3546.19640	24.10	3	82.988	
3580.22600	17.90	2	55.866	
3612.39520	16.00	2	62.500	
3617.78770	28.30	2	35.336	

t	13	13	13	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
49.46330	133.10	3	15.026	
157.63490	213.50	3	9.368	
162.70420	313.30	2	3.192	
369.91420	268.10	2	3.730	
469.67950	435.00	3	4.598	
560.58650	365.50	2	2.736	
623.52270	267.80	2	3.734	
744.82020	229.70	2	4.354	
750.88840	278.80	4	10.760	
820.39270	304.20	3	6.575	
837.41030	354.10	2	2.824	
852.98240	315.60	3	6.337	
858.75920	252.60	3	7.918	
965.31050	235.80	3	8.482	
1105.72020	315.80	3	6.333	
1156.45070	183.30	2	5.456	
1281.51100	1019.30	5	3.924	
1293.15270	236.10	3	8.471	
1306.31190	281.30	2	3.555	
1368.85750	250.80	2	3.987	
1375.44060	277.00	2	3.610	
1450.16320	354.30	5	11.290	
1739.62080	353.60	2	2.828	
1823.52020	216.80	2	4.613	
1892.53980	298.30	3	6.705	
2000.07830	244.20	2	4.095	
2043.48020	303.60	2	3.294	
2149.98930	261.00	2	3.831	
2243.60660	322.30	6	15.513	
2387.14240	246.90	2	4.050	
2470.76280	308.40	2	3.243	
2511.03950	214.30	3	9.333	
2528.99420	185.80	2	5.382	
2561.06930	352.20	2	2.839	
2632.60120	275.70	2	3.627	
2699.37780	214.40	2	4.664	
2742.80910	249.80	2	4.003	
2779.76480	307.50	2	3.252	
2791.47870	414.80	2	2.411	
2812.72370	416.10	2	2.403	
2896.14560	214.20	2	4.669	
2899.77070	431.10	4	6.959	
2909.87740	185.40	2	5.394	
2914.66950	201.40	4	14.896	
2999.63030	292.00	2	3.425	
3156.41330	244.40	2	4.092	
3164.79020	282.40	2	3.541	
3227.65310	370.40	2	2.700	
3252.83970	297.20	3	6.729	
