Multi Channel Experimenter Spike Analyzer ASCII Export


Instantaneous Parameters:

t	12	12	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26460	NaN	NaN	
706.95660	701692.00	0.001	
1046.56200	339605.40	0.003	
1046.64910	87.10	11.481	
1046.68740	38.30	26.110	

t	13	13	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26480	NaN	NaN	
1164.73430	1159469.50	0.001	

t	14	14	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26430	NaN	NaN	
22.79300	17528.70	0.057	
984.27640	961483.40	0.001	
1048.28500	64008.60	0.016	
1048.33640	51.40	19.455	
1048.46960	133.20	7.508	
1049.11970	650.10	1.538	
1049.16440	44.70	22.371	
1164.70100	115536.60	0.009	
1164.70710	6.10	163.934	
1164.73340	26.30	38.023	
1164.74070	7.30	136.986	
1164.74790	7.20	138.889	
1164.75010	2.20	454.545	
1164.75460	4.50	222.222	
1164.87450	119.90	8.340	
1164.88130	6.80	147.059	
1164.88490	3.60	277.778	
1164.90530	20.40	49.020	
1164.91720	11.90	84.034	
1164.93750	20.30	49.261	
1165.26090	323.40	3.092	
1165.27620	15.30	65.359	
1165.28110	4.90	204.082	
1165.29140	10.30	97.087	
1211.40990	46118.50	0.022	

t	17	17	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26430	NaN	NaN	
945.85880	940594.50	0.001	
945.89250	33.70	29.674	
945.93490	42.40	23.585	
1058.96620	113031.30	0.009	
1059.83740	871.20	1.148	
1060.08860	251.20	3.981	
1060.19060	102.00	9.804	
1060.23370	43.10	23.202	
1060.33200	98.30	10.173	
1060.40660	74.60	13.405	
1060.47730	70.70	14.144	
1060.56420	86.90	11.507	
1060.66910	104.90	9.533	
1060.71660	47.50	21.053	
1060.81330	96.70	10.341	
1060.93140	118.10	8.467	
1061.03330	101.90	9.814	
1061.08660	53.30	18.762	
1061.19150	104.90	9.533	
1061.25600	64.50	15.504	
1061.84290	586.90	1.704	
1061.85310	10.20	98.039	
1062.58840	735.30	1.360	
1062.65740	69.00	14.493	
1062.79880	141.40	7.072	
1064.54630	1747.50	0.572	
1064.68120	134.90	7.413	
1064.73280	51.60	19.380	
1064.81450	81.70	12.240	
1064.88860	74.10	13.495	
1065.08010	191.50	5.222	
1065.11250	32.40	30.864	
1065.20560	93.10	10.741	
1164.70070	99495.10	0.010	
1164.70720	6.50	153.846	
1164.73340	26.20	38.168	
1164.74090	7.50	133.333	
1164.74600	5.10	196.078	
1164.75010	4.10	243.902	
1164.75450	4.40	227.273	
1164.76770	13.20	75.758	
1164.87460	106.90	9.355	
1164.88490	10.30	97.087	
1164.90490	20.00	50.000	
1164.91750	12.60	79.365	
1164.93770	20.20	49.505	
1164.94570	8.00	125.000	
1165.26070	315.00	3.175	
1165.27630	15.60	64.103	
1165.28100	4.70	212.766	
1165.29130	10.30	97.087	
1211.41030	46119.00	0.022	
1216.17490	4764.60	0.210	

t	21	21	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26430	NaN	NaN	
22.79330	17529.00	0.057	
1164.70110	1141907.80	0.001	
1164.70720	6.10	163.934	
1164.73340	26.20	38.168	
1164.74070	7.30	136.986	
1164.74580	5.10	196.078	
1164.74790	2.10	476.190	
1164.75010	2.20	454.545	
1164.87470	124.60	8.026	
1164.88480	10.10	99.010	
1164.90520	20.40	49.020	
1164.91740	12.20	81.967	
1164.92010	2.70	370.370	
1164.93760	17.50	57.143	
1165.26040	322.80	3.098	
1165.27620	15.80	63.291	
1165.28110	4.90	204.082	
1165.29140	10.30	97.087	

t	22	22	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26430	NaN	NaN	
1022.37710	1017112.80	0.001	
1048.75140	26374.30	0.038	
1050.06180	1310.40	0.763	
1050.45530	393.50	2.541	
1050.46950	14.20	70.423	
1050.59190	122.40	8.170	
1050.60120	9.30	107.527	
1050.65530	54.10	18.484	
1050.71890	63.60	15.723	
1050.74080	21.90	45.662	
1050.85870	117.90	8.482	
1051.27310	414.40	2.413	
1051.39280	119.70	8.354	
1051.43950	46.70	21.413	
1051.48850	49.00	20.408	
1051.57500	86.50	11.561	
1051.62440	49.40	20.243	
1051.75540	131.00	7.634	
1051.76410	8.70	114.943	
1164.70100	112936.90	0.009	
1164.70740	6.40	156.250	
1164.72880	21.40	46.729	
1164.73340	4.60	217.391	
1164.74060	7.20	138.889	
1164.74570	5.10	196.078	
1164.74790	2.20	454.545	
1164.75000	2.10	476.190	
1164.75450	4.50	222.222	
1164.75670	2.20	454.545	
1164.76770	11.00	90.909	
1164.87480	107.10	9.337	
1164.88480	10.00	100.000	
1164.90490	20.10	49.751	
1164.91740	12.50	80.000	
1164.93760	20.20	49.505	
1164.94600	8.40	119.048	
1165.26000	314.00	3.185	
1165.27620	16.20	61.728	
1165.28130	5.10	196.078	
1165.29230	11.00	90.909	
1211.41160	46119.30	0.022	

t	24	24	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26430	NaN	NaN	
108.69740	103433.10	0.010	
112.23000	3532.60	0.283	
1050.93550	938705.50	0.001	
1051.27830	342.80	2.917	
1051.50260	224.30	4.458	
1051.54860	46.00	21.739	
1051.62930	80.70	12.392	
1051.73660	107.30	9.320	
1051.80110	64.50	15.504	
1051.88500	83.90	11.919	
1052.08290	197.90	5.053	
1052.21680	133.90	7.468	
1164.73350	112516.70	0.009	
1164.74800	14.50	68.966	
1164.88500	137.00	7.299	
1164.93780	52.80	18.939	
1165.26160	323.80	3.088	
1165.27640	14.80	67.568	

t	26	26	
	Isi	Frequency	
[s]	[ms]	[Hz]	
5.26430	NaN	NaN	
22.79290	17528.60	0.057	
76.65020	53857.30	0.019	
690.29970	613649.50	0.002	
1035.39660	345096.90	0.003	
