Multi Channel Experimenter Spike Analyzer ASCII Export


Instantaneous Parameters:

t	12	12	
	Isi	Frequency	
[s]	[ms]	[Hz]	
57.51440	NaN	NaN	
486.86490	429350.50	0.002	
486.87150	6.60	151.515	
794.26800	307396.50	0.003	
794.33600	68.00	14.706	
794.35450	18.50	54.054	
794.36150	7.00	142.857	
794.37610	14.60	68.493	
794.38380	7.70	129.870	
794.39010	6.30	158.730	
794.39710	7.00	142.857	
794.40060	3.50	285.714	
794.40470	4.10	243.902	
794.41150	6.80	147.059	
794.41490	3.40	294.118	
794.41820	3.30	303.030	
794.42850	10.30	97.087	
794.43200	3.50	285.714	
794.44340	11.40	87.719	
794.45550	12.10	82.645	
1022.57110	228115.60	0.004	
1022.58610	15.00	66.667	
1022.61260	26.50	37.736	
1022.62140	8.80	113.636	
1022.62830	6.90	144.928	
1022.63650	8.20	121.951	
1022.64310	6.60	151.515	
1022.65370	10.60	94.340	
1022.65740	3.70	270.270	
1022.66760	10.20	98.039	
1022.68030	12.70	78.740	
1022.69450	14.20	70.423	
1022.70470	10.20	98.039	
1022.77490	70.20	14.245	
1110.13360	87358.70	0.011	
1110.15910	25.50	39.216	
1545.11110	434952.00	0.002	
1918.80710	373696.00	0.003	
1918.81810	11.00	90.909	
1918.82740	9.30	107.527	
1918.83900	11.60	86.207	
2077.40100	158562.00	0.006	
2490.64890	413247.90	0.002	
2490.65360	4.70	212.766	
2490.65760	4.00	250.000	
2490.66400	6.40	156.250	
2490.67280	8.80	113.636	
2490.67890	6.10	163.934	
2490.68810	9.20	108.696	
2490.69350	5.40	185.185	
2490.69660	3.10	322.581	
2490.70280	6.20	161.290	
2490.71070	7.90	126.582	
2490.71620	5.50	181.818	
2490.72300	6.80	147.059	
2490.72900	6.00	166.667	
2490.73240	3.40	294.118	
2490.73550	3.10	322.581	
2490.74550	10.00	100.000	
3589.45490	1098709.40	0.001	
4794.42150	1204966.60	0.001	
4794.42910	7.60	131.579	
4794.43410	5.00	200.000	
4794.44090	6.80	147.059	
4794.44520	4.30	232.558	
4794.45370	8.50	117.647	
4794.45710	3.40	294.118	
4794.46070	3.60	277.778	
4794.46730	6.60	151.515	
4794.47470	7.40	135.135	
4794.48080	6.10	163.934	
4794.48390	3.10	322.581	
4794.48860	4.70	212.766	
4794.62400	135.40	7.386	
4794.63160	7.60	131.579	
4794.64160	10.00	100.000	
4794.64520	3.60	277.778	
4794.65140	6.20	161.290	
4794.65480	3.40	294.118	
4794.66430	9.50	105.263	
4794.67090	6.60	151.515	
4794.67970	8.80	113.636	
4794.68330	3.60	277.778	
4794.69690	13.60	73.529	
4794.73670	39.80	25.126	
4794.74050	3.80	263.158	
4794.75330	12.80	78.125	
4794.76570	12.40	80.645	
4794.77750	11.80	84.746	

t	13	13	
	Isi	Frequency	
[s]	[ms]	[Hz]	
57.51450	NaN	NaN	
486.86490	429350.40	0.002	
486.87150	6.60	151.515	
794.26780	307396.30	0.003	
794.33600	68.20	14.663	
794.35500	19.00	52.632	
794.36150	6.50	153.846	
794.37610	14.60	68.493	
794.38390	7.80	128.205	
794.39000	6.10	163.934	
794.39740	7.40	135.135	
794.40070	3.30	303.030	
794.40500	4.30	232.558	
794.41150	6.50	153.846	
794.41820	6.70	149.254	
794.42890	10.70	93.458	
794.44030	11.40	87.719	
794.44360	3.30	303.030	
794.45570	12.10	82.645	
1022.57090	228115.20	0.004	
1022.58630	15.40	64.935	
1022.59840	12.10	82.645	
1022.62130	22.90	43.668	
1022.62830	7.00	142.857	
1022.63670	8.40	119.048	
1022.64310	6.40	156.250	
1022.65100	7.90	126.582	
1022.65580	4.80	208.333	
1022.66500	9.20	108.696	
1022.67130	6.30	158.730	
1022.68040	9.10	109.890	
1022.69440	14.00	71.429	
1022.70470	10.30	97.087	
1022.75890	54.20	18.450	
1022.77470	15.80	63.291	
1110.13410	87359.40	0.011	
1110.15890	24.80	40.323	
1295.43670	185277.80	0.005	
1544.26070	248824.00	0.004	
1545.11180	851.10	1.175	
1918.80690	373695.10	0.003	
1918.81810	11.20	89.286	
1918.82750	9.40	106.383	
2490.64880	571821.30	0.002	
2490.65360	4.80	208.333	
2490.65760	4.00	250.000	
2490.66400	6.40	156.250	
2490.67280	8.80	113.636	
2490.67890	6.10	163.934	
2490.68820	9.30	107.527	
2490.69330	5.10	196.078	
2490.69640	3.10	322.581	
2490.70270	6.30	158.730	
2490.70990	7.20	138.889	
2490.71640	6.50	153.846	
2490.72210	5.70	175.439	
2490.72880	6.70	149.254	
2490.73230	3.50	285.714	
2490.73550	3.20	312.500	
2490.74610	10.60	94.340	
4794.42160	2303675.50	0.000	
4794.42890	7.30	136.986	
4794.43400	5.10	196.078	
4794.44140	7.40	135.135	
4794.44520	3.80	263.158	
4794.45420	9.00	111.111	
4794.45740	3.20	312.500	
4794.46060	3.20	312.500	
4794.46700	6.40	156.250	
4794.47010	3.10	322.581	
4794.47480	4.70	212.766	
4794.48090	6.10	163.934	
4794.48400	3.10	322.581	
4794.48860	4.60	217.391	
4794.63170	143.10	6.988	
4794.64180	10.10	99.010	
4794.64540	3.60	277.778	
4794.65120	5.80	172.414	
4794.65430	3.10	322.581	
4794.65740	3.10	322.581	
4794.66440	7.00	142.857	
4794.67080	6.40	156.250	
4794.68000	9.20	108.696	
4794.68320	3.20	312.500	
4794.69660	13.40	74.627	
4794.74080	44.20	22.624	
4794.75350	12.70	78.740	
4794.76590	12.40	80.645	
4794.77780	11.90	84.034	

t	14	14	
	Isi	Frequency	
[s]	[ms]	[Hz]	
57.51520	NaN	NaN	
486.86440	429349.20	0.002	
486.87150	7.10	140.845	
794.26790	307396.40	0.003	
794.33260	64.70	15.456	
794.33610	3.50	285.714	
794.35450	18.40	54.348	
794.36170	7.20	138.889	
