Multi Channel Experimenter Burst Analyzer ASCII Export


Parameters:

t	12	12	12	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
2716.50320	1648.40	23	13.346	
2742.37500	3197.80	25	7.505	
2785.52660	4452.80	81	17.966	
2793.22750	30.80	2	32.468	
2809.37570	1039.30	12	10.584	

t	14	14	14	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
29.51000	409.50	9	19.536	
78.15590	355.40	9	22.510	
108.02960	93.20	5	42.918	
180.72340	159.10	9	50.283	
364.05660	289.90	6	17.247	
421.25120	1427.30	26	17.516	
582.39190	1794.10	14	7.246	
651.49800	94.20	10	95.541	
658.37810	38.90	4	77.121	
676.53230	20.80	3	96.154	
703.17810	45.60	8	153.509	
797.30270	66.10	5	60.514	
947.19480	215.70	6	23.180	
953.34190	454.30	16	33.018	
964.97450	558.80	7	10.737	
994.40240	530.40	4	5.656	
1012.20450	365.20	8	19.168	
1026.14220	16.40	3	121.951	
1041.27260	13.50	3	148.148	
1115.00770	803.50	9	9.956	
1193.33080	1975.60	34	16.704	
1205.86140	34.20	3	58.480	
1267.63020	465.00	9	17.204	
1289.78590	1505.70	21	13.283	
1391.05410	493.60	20	38.493	
1394.08230	1704.80	30	17.011	
1429.42090	1483.50	28	18.200	
1447.58620	461.90	8	15.155	
1467.99200	426.00	7	14.085	
1488.10510	1512.40	37	23.803	
1521.73220	1023.00	7	5.865	
1590.34360	1657.10	15	8.448	
1608.04690	531.30	3	3.764	
1624.79440	407.70	11	24.528	
1630.43840	395.70	7	15.163	
1645.12830	32.00	5	125.000	
1668.38730	1060.70	18	16.027	
1680.53990	515.20	7	11.646	
1703.09720	1009.10	10	8.919	
1707.79700	485.70	6	10.294	
1714.05340	480.40	4	6.245	
1731.46060	517.50	3	3.865	
1791.30200	1025.50	7	5.851	
1807.69390	1020.50	20	18.618	
1858.60560	531.20	7	11.295	
1869.54250	873.00	7	6.873	
1908.10670	995.00	7	6.030	
1918.84350	540.00	6	9.259	
1931.96160	425.80	8	16.440	
1936.29670	532.50	4	5.634	
1971.78130	764.60	4	3.924	
1987.03010	24.30	3	82.305	
1991.37660	570.50	5	7.011	
2001.63780	138.50	2	7.220	
2030.55600	1088.80	5	3.674	
2046.04250	532.70	5	7.509	
2071.47350	431.00	25	55.684	
2076.74990	468.70	11	21.336	
2088.39030	987.10	4	3.039	
2104.61950	536.30	4	5.594	
2117.10680	1720.50	16	8.718	
2124.35140	442.30	7	13.565	
2134.16670	526.50	5	7.597	
2136.92210	82.20	8	85.158	
2141.53080	477.50	7	12.565	
2154.70930	529.20	4	5.669	
2193.27660	1003.20	9	7.974	
2241.34530	1071.30	6	4.667	
2281.36280	1026.60	10	8.767	
2303.99390	952.40	5	4.200	
2328.45650	1024.30	4	2.929	
2359.65880	519.80	6	9.619	
2380.07860	905.70	8	7.729	
2390.96160	428.20	7	14.012	
2424.99650	1185.50	7	5.061	
2451.36940	777.70	16	19.288	
2476.02140	1084.50	18	15.675	
2503.60780	637.30	5	6.276	
2519.27500	563.50	7	10.648	
2531.75110	128.60	10	69.984	
2560.06970	433.50	26	57.670	
2586.59020	1230.50	12	8.939	
2624.04460	615.70	6	8.121	
2656.18700	546.10	4	5.493	
2685.41840	521.30	7	11.510	
2694.28770	184.50	2	5.420	
2716.50350	461.00	10	19.523	
2721.94670	168.10	6	29.744	
2742.34450	611.70	7	9.809	
2786.50790	2796.60	39	13.588	
2809.37580	149.00	3	13.423	

t	15	15	15	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	

t	16	16	16	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
140.28790	11.00	2	90.909	
222.58010	11.10	2	90.090	
235.37980	600.40	5	6.662	
319.35000	81.40	4	36.855	
347.69380	39.40	3	50.761	
413.87100	18.40	2	54.348	
425.60930	42.80	4	70.093	
444.08470	1447.90	9	5.525	

t	17	17	17	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
421.27370	514.30	11	19.444	
965.00440	26.30	5	152.091	
1115.02410	43.40	5	92.166	
1193.35210	704.30	13	17.038	
1289.80310	503.60	8	13.900	
1394.10060	729.30	21	27.424	
1429.44070	504.90	12	21.786	
1468.00500	23.40	4	128.205	
1488.12150	533.60	9	14.993	
1521.75030	306.30	15	45.707	
1590.36170	661.90	13	18.130	
1608.06930	278.10	9	28.767	
1668.40750	264.10	16	56.797	
1680.55640	259.90	12	42.324	
1703.11780	290.70	9	27.520	
1714.07520	203.00	4	14.778	
1731.48150	239.80	8	29.191	
1791.32280	374.90	15	37.343	
1807.71860	252.80	13	47.468	
1858.62310	45.10	3	44.346	
1869.56080	296.30	21	67.499	
1908.12700	284.40	14	45.710	
1918.86600	319.40	9	25.047	
1936.31880	170.20	2	5.875	
1971.80500	251.00	12	43.825	
1991.39080	255.30	14	50.920	
2001.65930	259.10	6	19.298	
2030.57730	313.20	16	47.893	
2046.06120	262.50	9	30.476	
2088.41430	354.10	16	42.361	
2104.64060	179.00	3	11.173	
2118.42270	165.70	6	30.175	
2124.38370	57.60	4	52.083	
2134.18920	203.80	4	14.720	
2141.55980	189.10	5	21.153	
2154.72940	86.80	4	34.562	
2193.30300	271.40	8	25.792	
2241.37220	308.40	13	38.911	
2281.38540	311.40	13	38.536	
2304.01130	278.10	9	28.767	
2328.48000	256.30	6	19.508	
2359.68370	24.80	5	161.290	
2380.10040	248.80	5	16.077	
2425.02420	340.50	15	41.116	
2476.04620	249.50	8	28.056	
2503.63090	247.20	6	20.227	
2586.61360	315.90	11	31.656	
2624.06720	57.60	6	86.806	
2656.21990	11.80	4	254.237	
2742.36950	41.70	4	71.942	
2786.53030	1207.20	34	27.336	

t	21	21	21	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
421.25970	532.90	10	16.889	
933.10100	45.00	4	66.667	
1079.86290	21.40	2	46.729	
1193.33710	666.90	13	17.994	
1289.78820	556.70	9	14.370	
1394.08890	710.00	10	12.676	
1429.44110	502.60	6	9.948	
1488.10430	552.90	8	12.661	
1521.73410	424.50	11	23.557	
1590.34180	667.50	8	10.487	
1608.04680	424.50	13	28.269	
1668.42830	311.40	7	19.268	
1680.53390	358.30	15	39.073	
1703.09510	346.10	12	31.783	
1714.05670	254.60	8	27.494	
1731.45870	350.50	14	37.090	
1769.83190	75.20	4	39.894	
1791.29980	383.00	17	41.775	
1807.69470	351.80	14	36.953	
1858.68570	55.40	8	126.354	
1869.54160	382.40	19	47.071	
1908.11030	324.20	13	37.014	
1918.84270	357.20	19	50.392	
1936.29670	277.90	11	35.984	
1971.79950	311.30	20	61.034	
1991.37720	315.20	17	50.761	
2001.65270	332.00	7	18.072	
2030.55320	400.90	23	54.877	
2046.05730	359.30	13	33.398	
2088.38940	379.40	15	36.900	
2104.63350	114.10	5	35.057	
2118.40060	100.40	5	39.841	
2124.38900	214.70	6	23.288	
2134.18560	269.50	7	22.263	
2141.52620	81.90	4	36.630	
2154.72650	331.40	5	12.070	
2193.28920	335.40	11	29.815	
2241.35150	359.90	17	44.457	
2281.37840	359.10	16	41.771	
2303.98860	285.50	15	49.037	
2328.46030	403.20	14	32.242	
2359.76290	22.00	3	90.909	
2380.07730	379.40	14	34.265	
2424.99870	401.60	17	39.841	
2476.01840	363.50	23	60.523	
2503.60270	330.50	11	30.257	
2519.27790	370.10	9	21.616	
2586.58950	395.60	15	35.389	
2742.49370	222.90	5	17.945	
2786.50580	1284.70	39	29.579	
2809.37740	312.40	10	28.809	

t	22	22	22	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
32.92880	29.20	4	102.740	
398.92500	46.80	7	128.205	
421.23940	621.80	5	6.433	
516.34230	31.40	4	95.541	
544.68170	13.30	4	225.564	
651.16490	480.50	14	27.055	
685.16230	45.70	3	43.764	
965.07260	2003.60	11	4.991	
994.47320	305.40	11	32.744	
1115.08190	293.70	7	20.429	
1193.32880	787.90	5	5.077	
1289.78430	582.00	5	6.873	
1314.38900	10.30	3	194.175	
1394.07970	1286.30	8	5.442	
1429.42030	584.30	6	8.557	
1488.10330	581.40	6	8.600	
1521.67360	485.60	7	12.356	
1527.58760	499.90	2	2.000	
1590.34320	1560.40	14	8.331	
1608.03790	405.20	6	12.340	
1668.38500	399.70	3	5.004	
1680.53360	363.30	4	8.258	
1703.08840	409.80	5	9.761	
1714.05310	333.10	4	9.006	
1731.45520	399.90	9	20.005	
1747.25410	33.00	4	90.909	
1791.29670	468.50	10	19.210	
1807.69040	390.20	5	10.251	
1858.65920	266.10	11	37.580	
1869.53070	429.40	7	13.973	
1908.09990	421.40	5	9.492	
1918.83690	364.70	5	10.968	
1932.05160	14.90	2	67.114	
1936.29340	341.70	5	11.706	
1971.77990	415.90	8	16.831	
1991.37560	402.30	9	19.886	
2001.63630	323.70	11	30.893	
2030.55500	415.20	10	21.676	
2046.04390	373.80	13	32.103	
2088.38550	424.00	8	16.509	
2104.61830	338.30	10	26.604	
2118.40210	283.70	9	28.199	
2124.34250	317.30	8	22.061	
2134.16310	353.40	12	31.126	
2141.52520	299.60	11	33.378	
2154.72610	323.60	12	33.993	
2193.28240	412.60	10	21.813	
2241.34540	379.40	8	18.450	
2281.36260	420.20	10	21.418	
2303.99610	395.30	12	27.827	
2328.48780	362.60	8	19.305	
2359.73770	254.70	10	35.336	
2380.07440	402.60	9	19.871	
2391.03830	32.30	4	92.879	
2424.94360	504.60	16	29.727	
2476.01740	491.20	10	18.322	
2503.60410	383.60	8	18.248	
