Multi Channel Experimenter Spike Analyzer ASCII Export


Instantaneous Parameters:

t	12	12	
	Isi	Frequency	
[s]	[ms]	[Hz]	
99.27030	NaN	NaN	
99.28500	14.70	68.027	
99.29700	12.00	83.333	
99.31780	20.80	48.077	
99.41900	101.20	9.881	
99.43060	11.60	86.207	
99.53960	109.00	9.174	
347.31580	247776.20	0.004	
347.31900	3.20	312.500	
347.35180	32.80	30.488	
347.36440	12.60	79.365	
347.37020	5.80	172.414	
432.86020	85490.00	0.012	
432.86770	7.50	133.333	
433.04340	175.70	5.692	
433.07000	26.60	37.594	
433.07740	7.40	135.135	
433.08200	4.60	217.391	
433.10340	21.40	46.729	
433.10750	4.10	243.902	
497.54050	64433.00	0.016	
535.78180	38241.30	0.026	
535.78810	6.30	158.730	
535.85780	69.70	14.347	
578.81890	42961.10	0.023	
578.82840	9.50	105.263	
578.83890	10.50	95.238	
578.84600	7.10	140.845	
578.85080	4.80	208.333	
578.86640	15.60	64.103	
578.94830	81.90	12.210	
578.95850	10.20	98.039	
578.96530	6.80	147.059	
578.97370	8.40	119.048	
579.09120	117.50	8.511	
579.10010	8.90	112.360	
697.67780	118577.70	0.008	
697.68640	8.60	116.279	
697.69680	10.40	96.154	
697.70270	5.90	169.492	
697.71440	11.70	85.470	
697.71880	4.40	227.273	
697.72780	9.00	111.111	
697.73310	5.30	188.679	
697.83080	97.70	10.235	
697.85360	22.80	43.860	
697.85480	1.20	833.333	
697.86050	5.70	175.439	
697.87050	10.00	100.000	
697.90620	35.70	28.011	
697.91520	9.00	111.111	
697.92190	6.70	149.254	
697.92630	4.40	227.273	
697.94990	23.60	42.373	
723.13540	25185.50	0.040	
723.14280	7.40	135.135	
723.20510	62.30	16.051	
723.33730	132.20	7.564	
723.36550	28.20	35.461	
723.37180	6.30	158.730	
723.37670	4.90	204.082	
723.38450	7.80	128.205	
723.39870	14.20	70.423	
804.77950	81380.80	0.012	
804.78810	8.60	116.279	
804.95220	164.10	6.094	
805.05640	104.20	9.597	
805.06290	6.50	153.846	
805.06860	5.70	175.439	
822.84770	17779.10	0.056	
822.85490	7.20	138.889	
822.90280	47.90	20.877	
823.15570	252.90	3.954	
873.74300	50587.30	0.020	
873.74970	6.70	149.254	
874.01760	267.90	3.733	
954.91790	80900.30	0.012	
954.92630	8.40	119.048	
954.93280	6.50	153.846	
954.97950	46.70	21.413	
954.98790	8.40	119.048	
976.07830	21090.40	0.047	
976.08330	5.00	200.000	
976.14020	56.90	17.575	
976.25290	112.70	8.873	
976.25700	4.10	243.902	
999.62490	23367.90	0.043	
999.63230	7.40	135.135	
999.63950	7.20	138.889	
999.64310	3.60	277.778	
999.78350	140.40	7.123	
999.79390	10.40	96.154	
999.82540	31.50	31.746	
999.84070	15.30	65.359	
999.85610	15.40	64.935	
1003.52010	3664.00	0.273	
1003.52640	6.30	158.730	
1003.53590	9.50	105.263	
1012.36250	8826.60	0.113	
1012.40320	40.70	24.570	
1012.41000	6.80	147.059	
1012.49500	85.00	11.765	
1012.50190	6.90	144.928	
1012.50930	7.40	135.135	
1012.51290	3.60	277.778	
1012.52970	16.80	59.524	
1012.54570	16.00	62.500	
1012.54810	2.40	416.667	
1012.55160	3.50	285.714	
1073.78750	61235.90	0.016	
1080.60020	6812.70	0.147	
1080.60770	7.50	133.333	
1080.61760	9.90	101.010	
1080.62710	9.50	105.263	
1080.74140	114.30	8.749	
1080.78060	39.20	25.510	
1080.78240	1.80	555.556	
1080.79540	13.00	76.923	
1080.81450	19.10	52.356	
1095.18870	14374.20	0.070	
1095.19240	3.70	270.270	
1095.19460	2.20	454.545	
1095.24340	48.80	20.492	
1095.35210	108.70	9.200	
1095.35970	7.60	131.579	
1095.38670	27.00	37.037	
1095.44850	61.80	16.181	
1095.45390	5.40	185.185	
1095.46160	7.70	129.870	
1152.16800	56706.40	0.018	
1152.17970	11.70	85.470	
1152.18870	9.00	111.111	
1152.19330	4.60	217.391	
1211.94260	59749.30	0.017	
1211.95020	7.60	131.579	
1212.01220	62.00	16.129	
1212.01760	5.40	185.185	
1212.14680	129.20	7.740	
1212.15090	4.10	243.902	
1212.28300	132.10	7.570	
1218.83970	6556.70	0.153	
1235.59020	16750.50	0.060	
1235.60140	11.20	89.286	
1259.22680	23625.40	0.042	
1259.36820	141.40	7.072	
1273.33680	13968.60	0.072	
1273.34200	5.20	192.308	
1273.51840	176.40	5.669	
1273.52040	2.00	500.000	
1330.09810	56577.70	0.018	
1330.20310	105.00	9.524	
1330.20840	5.30	188.679	
1330.37480	166.40	6.010	
1330.38090	6.10	163.934	
1330.39340	12.50	80.000	
1330.40560	12.20	81.967	
1330.43390	28.30	35.336	
1337.16530	6731.40	0.149	
1337.17620	10.90	91.743	
1337.18560	9.40	106.383	
1337.19090	5.30	188.679	
1337.26840	77.50	12.903	
1337.27150	3.10	322.581	
1462.41370	125142.20	0.008	
1507.26120	44847.50	0.022	
1507.29790	36.70	27.248	
1552.58480	45286.90	0.022	
1552.58990	5.10	196.078	
1559.92000	7330.10	0.136	
1559.93380	13.80	72.464	
1559.94610	12.30	81.301	
1592.09500	32148.90	0.031	
1592.10150	6.50	153.846	
1592.14560	44.10	22.676	
1592.15070	5.10	196.078	
1592.15450	3.80	263.158	
1592.16280	8.30	120.482	
1592.35790	195.10	5.126	
1592.36880	10.90	91.743	
1592.37900	10.20	98.039	
1592.38250	3.50	285.714	
1592.40550	23.00	43.478	
1592.43440	28.90	34.602	
1592.45080	16.40	60.976	
1592.48270	31.90	31.348	
1603.72540	11242.70	0.089	
1603.87600	150.60	6.640	
1603.88010	4.10	243.902	
1603.88710	7.00	142.857	
1604.03010	143.00	6.993	
1607.88390	3853.80	0.259	
1607.89310	9.20	108.696	
1736.27970	128386.60	0.008	
1736.29240	12.70	78.740	
